0,-0.96807,-0.96869,-0.1,0.2,0.01,0.01,-50
0.1,-0.009924,-0.1689,-0.1,0.2,0,0.02,-50
0.2,0.19553,-0.007238,-0.1,0.2,-0.01,0.03,-50
0.3,0.16163,0.028899,-0.1,0.2,-0.02,0.04,-50
0.4,0.083707,0.042955,-0.1,0.2,-0.03,0.05,-50
0.5,0.00861,0.05559,-0.1,0.2,-0.04,0.06,-50
0.6,-0.054032,0.066681,-0.1,0.2,-0.046317,0.07,-50
0.7,-0.10747,0.077348,-0.1,0.2,-0.038291,0.08,-50
0.8,-0.14674,0.090789,-0.1,0.2,-0.036089,0.09,-50
0.9,-0.13897,0.11671,-0.1,0.2,-0.037265,0.1,-50
1,-0.12576,0.13907,-0.1,0.2,-0.037812,0.11,-50
1.1,-0.1146,0.16173,-0.1,0.2,-0.038496,0.1165,-50
1.2,-0.10728,0.18013,-0.1,0.2,-0.03823,0.11704,-50
1.3,-0.10254,0.19457,-0.1,0.2,-0.03827,0.11657,-50
1.4,-0.099761,0.19982,-0.1,0.2,-0.038443,0.11636,-50
1.5,-0.098554,0.20122,-0.1,0.2,-0.038606,0.11606,-50
1.6,-0.10089,0.20067,-0.1,0.2,-0.037889,0.11596,-50
1.7,-0.10061,0.19975,-0.1,0.2,-0.038399,0.11613,-50
1.8,-0.10028,0.19971,-0.1,0.2,-0.038089,0.11625,-50
1.9,-0.10147,0.19959,-0.1,0.2,-0.037912,0.11615,-50
2,-0.099101,0.20057,-0.1,0.2,-0.038499,0.116,-50
2.1,-0.099013,0.20096,-0.1,0.2,-0.038153,0.11582,-50
2.2,-0.10017,0.19976,-0.1,0.2,-0.038225,0.11606,-50
2.3,-0.099585,0.20005,-0.1,0.2,-0.038345,0.11593,-50
2.4,-0.09939,0.19992,-0.1,0.2,-0.0384,0.11611,-50
2.5,-0.09998,0.19929,-0.1,0.2,-0.038356,0.11633,-50
2.6,-0.10143,0.19907,-0.1,0.2,-0.037968,0.11641,-50
